date,night_bathroom_trips,first_rise_hour,kitchen_visits,median_transit_seconds,hours_active,longest_inactive_minutes,door_openings,sleep_fragmentation,tier_a_event_count
2010-12-08,5,4.083333333333333,8,3.0400375,23.84802176361111,226.41932864999998,8,1,124
2010-12-09,5,5.95,7,3.3054485,20.107244617777777,288.20377364999996,20,2,120
2010-12-10,5,5.95,8,3.43569,20.394773923888888,245.30652535,24,1,94
2010-12-11,10,8.483333333333333,11,3.814218,23.8034134175,243.13436645,12,3,102
2010-12-12,4,5.95,9,3.1723355,22.8563326975,171.06873276666664,6,2,86
2010-12-13,6,5.95,6,3.382431,20.866767070555554,247.46403890000002,34,2,124
2010-12-14,0,6.333333333333333,8,3.375889,23.892772878888888,223.04381155000002,46,1,130
2010-12-15,16,5.2,10,3.170273,22.321274022222223,267.61367423333337,14,3,98
2010-12-16,8,6.95,8,3.166636,23.621110797500002,168.01359168333332,8,1,112
2010-12-17,0,6.1,4,3.3250830000000002,23.930225355833333,198.23383375,38,0,100
2010-12-18,19,7.083333333333333,5,3.0431895,23.56846010027778,278.8868259166667,32,2,136
2010-12-19,7,7.383333333333334,8,3.312085,23.376124766111108,145.34435720000002,38,2,122
2010-12-20,8,5.216666666666667,6,3.4486665,23.93373292527778,269.89413636666666,48,2,162
2010-12-21,10,10.433333333333334,8,3.611736,23.696623240277777,241.0408802,4,2,86
2010-12-22,7,6.116666666666666,10,3.2078195000000003,23.909678244444443,177.50671496666666,12,2,108
2010-12-23,10,5.166666666666667,7,3.047272,23.950813497777776,140.55839995,70,3,166
2010-12-24,4,6.633333333333333,3,3.334847,23.998682682222224,353.8974462,26,1,160
2010-12-25,2,5.95,9,3.421423,23.73346397666667,240.78469965000002,34,1,152
2010-12-26,9,4.9,7,3.434584,23.44178991638889,273.55911004999996,16,2,146
2010-12-27,0,7.9,5,2.913571,23.845418590555557,145.12973766666667,68,0,128
2010-12-28,19,4.25,10,2.891313,23.92414908888889,193.34456185,48,2,168
2010-12-29,3,4.4,6,2.754309,23.855546937222222,118.3630389,24,1,140
2010-12-30,4,6.716666666666667,8,2.9787549999999996,23.947978905555555,45.84052681666667,114,4,212
2010-12-31,7,5.95,9,3.01157,23.75393277388889,321.80619585,20,3,108
2011-01-01,3,6.25,11,3.5799269999999996,23.78648268722222,219.16128171666665,4,1,66
2011-01-02,13,5.7,10,3.824341,23.984989293055555,237.93623696666666,40,3,130
2011-01-03,0,8.666666666666666,8,3.46027,23.99901134138889,192.78148671666668,20,1,124
2011-01-04,9,8.133333333333333,7,3.010563,23.604901672222223,197.28869866666668,36,1,114
2011-01-05,8,5.9,6,3.464306,23.787495948611113,224.30884468333335,10,2,98
2011-01-06,0,6.95,9,3.61543,23.390915334722223,175.09602089999998,14,0,74
2011-01-07,3,7.25,6,3.174871,23.927709646666667,293.10910506666664,12,1,108
2011-01-08,8,5.816666666666666,12,3.945032,23.460492500833332,314.58946430000003,2,2,74
2011-01-09,3,5.5,8,2.9080195,23.331945143055556,184.86988046666664,18,1,108
2011-01-10,3,4.083333333333333,8,3.384738,23.98241093111111,290.79011405,26,2,108
2011-01-11,7,6.1,12,3.19733,23.941935033611113,183.9348964,28,1,122
2011-01-12,2,8.333333333333334,7,2.89562,23.92262074638889,206.45392683333333,13,1,130
2011-01-13,0,7.05,7,3.300552,23.34709054388889,254.81408913333334,16,0,98
2011-01-14,3,5.616666666666667,6,3.196017,23.373894676944445,124.16422705,16,1,98
2011-01-15,6,5.733333333333333,7,3.013178,23.807549475,336.30864628333336,42,2,118
2011-01-16,8,8.566666666666666,11,2.596728,23.773340393333335,64.6018048,26,1,100
2011-01-17,3,4.9,7,3.4231605,23.889148731944445,158.59487333333334,14,2,96
2011-01-18,4,6.083333333333333,7,2.730715,23.948352019444446,181.19744813333332,54,1,162
2011-01-19,5,4.416666666666667,8,3.2437959999999997,23.58106841027778,253.13168718333333,28,2,92
2011-01-20,10,7.016666666666667,8,3.2626275,23.126237109722222,200.54823573333334,10,1,78
2011-01-21,5,6.933333333333334,11,3.4969349999999997,23.924189617499998,198.9213516,28,1,130
2011-01-22,10,5.933333333333334,6,3.108648,23.95762610666667,177.38291786666665,32,3,128
2011-01-23,3,5.066666666666666,9,3.463478,22.93446197027778,221.42341823333334,18,1,128
2011-01-24,0,7.933333333333334,11,3.470367,23.964478884722222,206.35567415,16,0,82
2011-01-25,3,7.85,6,3.0020875,23.991287664722222,138.28642376666667,42,2,110
2011-01-26,6,8.3,9,3.432285,23.99783719,201.89935916666667,12,1,72
2011-01-27,4,6.233333333333333,8,3.136154,23.185637175833335,270.78883275000004,14,1,126
2011-01-28,0,7.35,7,2.900082,23.852550595555556,219.01337288333335,64,0,152
2011-01-29,6,5.15,8,3.158835,23.902738214722223,219.91335131666668,22,3,120
2011-01-30,2,6.033333333333333,12,3.562626,23.640508564444445,207.11327985,14,1,96
2011-01-31,3,7.766666666666667,8,3.153629,20.273476955277776,202.01095646666667,20,1,96
2011-02-01,8,5.516666666666667,8,3.18957,21.876384909444443,192.86711234999999,24,2,126
2011-02-02,3,7.533333333333333,7,3.0357805,22.28707011138889,234.49404448333334,8,1,130
2011-02-03,3,6.616666666666667,7,3.573765,23.983409755,328.9032504,52,1,128
2011-02-04,7,4.15,11,3.3595740000000003,23.64345401138889,195.20743073333333,24,3,126
2011-02-05,0,6.033333333333333,10,3.3489329999999997,23.242366551666667,248.97199381666667,10,0,90
2011-02-06,4,6.033333333333333,9,3.505416,23.65801475611111,177.87590096666665,10,2,118
2011-02-07,3,5.583333333333333,6,3.358193,23.584108990277777,139.0774385,22,1,142
2011-02-08,4,5.766666666666667,10,3.0470050000000004,23.884418525277777,138.41939163333333,32,4,148
2011-02-09,6,4.466666666666667,6,3.1332125,23.98455210611111,238.18382118333332,40,2,158
2011-02-10,0,6.016666666666667,3,3.1366095,23.03332524444444,41.0620785,18,0,110
2011-02-11,12,5.766666666666667,11,3.244698,23.659843957222222,310.6318112833333,28,2,134
2011-02-12,7,4.55,8,3.136003,23.057892572222222,208.50984521666666,14,2,116
2011-02-13,0,7.7,9,3.015567,22.558369743333333,84.12002248333333,2,0,60
2011-02-14,3,4.783333333333333,9,3.0891375,23.986057603333332,158.04845486666667,36,2,238
2011-02-15,10,5.083333333333333,10,3.2337045,23.945962791666666,144.86694006666667,28,2,170
2011-02-16,6,7.7,7,3.300576,23.690488555555554,154.0506323,34,1,136
2011-02-17,3,6.95,9,3.380192,23.870753578055556,294.9849649166666,20,1,132
2011-02-18,4,4.883333333333333,6,3.315087,23.865757318611113,154.2895579,30,1,140
2011-02-19,8,4.683333333333334,4,3.612546,23.554181610833332,558.0417202333333,6,2,62
2011-02-20,3,7.866666666666667,7,2.7349705,23.202746674166665,82.51252373333334,46,2,112
2011-02-21,7,6.916666666666667,12,3.490758,23.847118578333333,158.30693925,28,1,98
2011-02-22,7,7.333333333333333,10,3.438006,23.810518063055557,229.05933813333334,22,3,130
2011-02-23,3,7.283333333333333,10,2.900266,23.96942464861111,337.9368396,8,3,106
2011-02-24,10,4.766666666666667,12,3.61042,23.924426199444444,183.93997006666666,30,2,140
2011-02-25,5,8.616666666666667,11,3.482898,23.943266542499998,439.9588154,2,2,54
2011-02-26,3,7.6,8,2.8578465,23.82718043527778,246.8522727666667,50,3,144
2011-02-27,0,6.766666666666667,9,3.049433,23.965530666666666,249.89198708333333,18,0,130
2011-02-28,5,5.233333333333333,10,3.4959015,23.93420745861111,202.137981,22,2,108
2011-03-01,0,6.183333333333334,10,3.354834,23.259952781944445,208.9829098,32,0,126
2011-03-02,3,4.55,9,3.055082,18.05386997472222,195.40339774999998,24,1,130
2011-03-03,3,4.0,11,3.4994129999999997,23.961586362777776,172.70343211666668,17,1,97
2011-03-04,3,4.6,7,3.432973,23.44531100888889,254.53126418333335,26,1,100
2011-03-05,8,5.016666666666667,6,3.119801,23.475710598333333,375.3839310833334,30,1,100
2011-03-06,8,6.7,11,3.23373,23.426073077777776,223.5744455,8,1,114
2011-03-07,10,5.216666666666667,11,3.3109835,23.704978525277777,176.0597725833333,16,2,124
2011-03-08,0,7.616666666666667,10,3.4938275,23.04756403861111,221.44897655000003,30,0,114
2011-03-09,0,7.516666666666667,8,3.358066,23.964815871388886,342.77921275,28,0,110
2011-03-10,6,5.116666666666666,7,3.520198,23.443027560833333,114.82886239999999,20,2,108
2011-03-11,0,7.383333333333334,9,3.245478,23.615777601944444,217.8413544,22,0,94
2011-03-12,4,8.116666666666667,11,2.9867369999999998,23.332435169166665,201.46448878333334,72,1,294
2011-03-13,0,6.166666666666667,8,3.633776,23.74687227,313.37871678333335,14,0,98
2011-03-14,0,7.05,7,3.717347,22.549619471944446,145.82388588333333,28,0,82
2011-03-15,4,7.416666666666667,7,2.6839500000000003,23.92341677916667,194.70863178333332,36,1,110
2011-03-16,6,6.316666666666666,13,3.252541,23.891351281111113,246.29497170000002,44,4,118
2011-03-17,2,8.15,7,3.575412,23.993521333333334,213.4960531,20,1,60
2011-03-18,3,7.733333333333333,12,2.906345,23.988496850833332,59.988876366666666,18,2,92
2011-03-19,3,4.966666666666667,9,2.808721,23.97362468527778,178.29710996666665,94,1,180
2011-03-20,10,6.783333333333333,12,3.6729765,23.896999491388886,160.18727608333333,14,4,122
2011-03-21,3,6.983333333333333,6,3.410284,23.811300124444443,236.36509643333332,26,1,96
2011-03-22,4,6.933333333333334,11,2.890177,23.428313613055554,108.93403853333332,40,2,108
2011-03-23,21,4.7,8,3.2807015,23.969501814444442,152.78583791666668,34,4,154
2011-03-24,2,5.95,12,3.6612,23.8877328275,85.63346628333333,28,4,132
2011-03-25,9,4.416666666666667,9,3.695061,22.405736895,117.10482565000001,36,5,146
2011-03-26,0,6.8,8,2.789394,22.19633513666667,119.52867243333334,64,0,136
2011-03-27,4,6.533333333333333,11,2.922357,23.641112514444444,211.20530355,34,1,116
2011-03-28,7,4.183333333333334,12,3.45175,23.87704670388889,244.46158931666665,24,2,160
2011-03-29,4,6.466666666666667,11,3.140206,23.90891293527778,130.83546405,32,2,110
2011-03-30,13,5.766666666666667,11,3.574822,23.81964153166667,207.6931149,20,3,92
2011-03-31,8,4.766666666666667,10,3.343145,23.637024794166667,268.34001155,18,2,98
2011-04-01,8,5.183333333333334,13,3.390382,23.38563638138889,231.85855899999999,20,2,84
2011-04-02,3,9.733333333333333,7,2.649231,22.270714586666667,222.4680858,74,3,154
2011-04-03,8,6.016666666666667,10,3.80625,23.501573229999998,217.16995176666666,10,2,76
2011-04-04,4,8.366666666666667,11,3.125571,22.886544815,100.83515846666666,24,2,52
2011-04-05,3,4.433333333333334,5,3.258811,21.771922118055553,291.44069645,26,2,74
2011-04-06,3,7.966666666666667,11,3.446253,22.407488962777776,267.3567100166667,16,1,46
2011-04-07,3,6.85,8,2.780233,20.33212486861111,91.8998316,40,1,128
2011-04-08,0,7.4,9,3.059171,20.512992006666664,194.4333935,38,0,100
2011-04-09,3,4.0,10,3.481504,23.704764936944443,216.13654481666666,10,1,80
2011-04-10,3,4.35,8,2.859076,23.764567321111112,246.56382395,46,1,148
2011-04-11,4,7.366666666666666,6,3.865848,23.46603810888889,205.98053716666666,50,1,140
2011-04-12,0,7.05,6,3.361201,20.599396040000002,136.93126506666667,44,0,106
2011-04-13,6,4.6,7,3.613001,23.88023506111111,257.3714970166667,46,2,140
2011-04-14,10,4.216666666666667,8,3.350388,22.566898510555557,223.79358926666666,24,3,128
2011-04-15,9,5.4,7,3.361194,20.65642696361111,143.41282273333334,62,2,176
2011-04-16,0,6.316666666666666,5,3.4135275,23.959013499166666,319.83318785,22,0,104
2011-04-17,3,7.4,9,3.222256,23.82804624138889,216.14800920000002,106,2,264
2011-04-18,6,5.75,10,3.393195,23.84611863888889,300.1245188666666,14,4,102
2011-04-19,3,7.133333333333334,7,2.895622,23.924097935833334,312.962007,88,2,196
2011-04-20,7,4.983333333333333,9,3.440753,23.595001965555554,271.8132825833333,14,2,98
2011-04-21,10,5.733333333333333,11,3.394,23.731693899444444,251.71198596666667,20,2,114
2011-04-22,0,6.016666666666667,12,3.2106765,23.366459804722222,355.48115936666665,22,1,124
2011-04-23,3,5.016666666666667,8,3.8754625000000003,21.125656077777776,183.75665126666667,8,1,56
2011-04-24,0,6.516666666666667,8,3.538563,23.72029639666667,341.7514372166667,16,0,112
2011-04-25,8,5.716666666666667,11,3.7780864999999997,23.60010661305556,151.26679671666668,14,2,102
2011-04-26,6,5.166666666666667,10,3.559298,19.385300745833334,269.5016093666667,22,1,86
2011-04-27,11,5.183333333333334,7,3.194796,23.362206931111114,282.90843555,40,2,144
2011-04-28,4,5.466666666666667,8,3.65195,21.160203705277777,221.28648646666667,24,1,126
2011-04-29,15,4.583333333333333,6,3.4799385000000003,22.030314388055555,331.5689567333333,38,2,132
2011-04-30,21,4.4,5,3.348316,22.565769458055556,287.25877148333336,40,1,106
2011-05-01,9,5.016666666666667,10,3.750309,22.978732279444444,194.31915413333334,46,2,160
2011-05-02,3,5.716666666666667,7,3.707454,21.057304554444446,230.17235100000002,33,1,113
2011-05-03,8,5.333333333333333,8,2.5910539999999997,22.707424061666668,205.48363695,89,2,211
2011-05-04,0,6.783333333333333,8,3.466714,20.605868662777777,143.42724211666666,50,0,124
2011-05-05,17,4.4,10,3.8522465,21.338391255555557,214.71882618333333,22,1,90
2011-05-06,3,5.4,10,3.416462,23.624100888055555,132.67165351666665,30,1,148
2011-05-07,3,7.016666666666667,11,3.6103885,23.158110916666665,194.47577136666666,21,1,85
2011-05-08,3,6.216666666666667,5,3.26295,20.631326030833335,264.98370558333335,15,1,101
2011-05-09,6,5.216666666666667,9,3.127772,22.332235054722222,204.8728806166667,22,1,106
2011-05-10,7,5.633333333333333,10,2.837188,22.367043520555555,201.19536576666667,66,2,142
2011-05-11,6,4.0,8,3.558598,23.204495345555557,151.66529396666667,18,2,110
2011-05-12,3,6.666666666666667,9,2.93006,21.66884586611111,192.69827436666668,22,1,108
2011-05-13,3,4.016666666666667,6,3.280641,20.392372645555554,131.6805753,64,1,178
2011-05-14,12,4.666666666666667,9,2.70396,22.737393411388886,229.49760636666667,54,3,138
2011-05-15,4,4.366666666666666,10,3.2113050000000003,20.662364543611112,230.63343546666667,54,1,154
2011-05-16,6,5.4,8,3.4917105,22.784118068055555,208.7370725,20,1,106
2011-05-17,2,5.9,7,2.9466099999999997,18.272477558888887,193.81297463333334,40,1,113
2011-05-18,4,7.95,7,3.5084679999999997,23.713868208333334,216.34090743333334,34,1,93
2011-05-19,5,4.133333333333334,8,3.859007,19.00973904972222,190.6158874,26,2,82
2011-05-20,0,6.1,8,3.2045405000000002,22.8687912625,162.46621895,12,0,120
2011-05-21,0,6.15,12,4.022428,21.517945601666668,77.91683898333334,18,0,122
2011-05-22,3,7.433333333333334,5,2.8825455,21.200361385277777,123.3982793,84,1,186
2011-05-23,7,4.0,12,3.3164819999999997,20.986941954444447,63.60336471666667,108,4,268
2011-05-24,6,5.633333333333333,9,3.3913205,21.316905542222223,410.1462127666666,30,1,116
2011-05-25,11,5.15,10,3.5635535000000003,23.097225264444443,181.7833087,36,2,112
2011-05-26,8,5.383333333333334,9,3.3101459999999996,22.20000105027778,245.16158366666664,30,1,132
2011-05-27,10,4.683333333333334,8,3.3259465,21.85614179611111,165.92833725,38,2,136
2011-05-28,3,4.583333333333333,11,3.412455,22.400967057222225,205.35881918333334,32,2,118
2011-05-29,3,6.75,7,2.708859,21.364220492222223,90.39759415,174,1,330
2011-05-30,3,6.116666666666666,9,2.6675509999999996,22.32156567611111,54.672250516666665,92,1,196
2011-05-31,16,4.033333333333333,5,3.678952,21.427758499722223,182.8971624,116,2,208
2011-06-01,6,5.666666666666667,9,3.6187595,18.866910013333335,138.2618108,26,1,112
2011-06-02,3,5.9,10,3.410615,22.333679118055557,211.50525161666667,22,2,118
2011-06-03,11,5.016666666666667,7,3.7081679999999997,22.82236060916667,188.89105731666666,22,2,110
2011-06-04,6,5.316666666666666,13,3.3373135,23.470137141666665,134.2438435,50,2,98
2011-06-05,5,5.783333333333333,8,3.351407,19.71744115527778,187.79491661666668,14,2,120
2011-06-06,17,5.583333333333333,8,3.7947414999999998,20.661682734444444,91.17747908333334,50,2,178
2011-06-07,8,5.483333333333333,7,3.514212,21.159971716666668,222.09324316666667,42,2,142
2011-06-08,15,5.116666666666666,8,3.668032,22.05362188388889,143.74948208333333,24,2,136
2011-06-09,9,5.15,9,3.623165,23.633513915555554,208.69508881666667,32,2,150
2011-06-10,3,5.4,8,2.901835,20.297709740833334,332.8433472,66,1,138
2011-06-11,4,5.233333333333333,9,3.419226,21.01937993611111,47.46832933333334,24,1,102
